phase duration (us),pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
50,400,3.65,1*threshold,4,81
50,400,3.65,1*threshold,4,84
50,400,3.65,1*threshold,4,86
50,400,3.65,1*threshold,4,89
50,400,3.65,1*threshold,4,91
50,400,3.65,1*threshold,4,94
50,400,3.65,1*threshold,4,96
50,400,3.65,1*threshold,4,99
50,400,3.65,1*threshold,4,101
50,400,3.65,1*threshold,4,104
50,400,3.65,1*threshold,4,106
50,400,3.65,1*threshold,4,109
50,400,3.65,1*threshold,4,111
50,400,3.65,1*threshold,4,114
50,400,3.65,1*threshold,4,116
50,400,3.65,1*threshold,4,119
50,400,3.65,1*threshold,4,121
50,400,3.65,1*threshold,4,124
50,400,3.65,1*threshold,4,126
50,400,3.65,1*threshold,4,129
50,400,3.65,1*threshold,4,131
50,400,3.65,1*threshold,4,134
50,400,3.65,1*threshold,4,136
50,400,3.65,1*threshold,4,139
50,400,3.65,1*threshold,4,141
50,400,3.65,1*threshold,4,144
50,400,3.65,1*threshold,4,146
50,400,3.65,1*threshold,4,149
50,400,3.65,1*threshold,4,151
50,400,3.65,1*threshold,4,154
50,400,3.65,1*threshold,4,156
50,400,3.65,1*threshold,4,159
50,400,3.65,1*threshold,4,161
50,400,3.65,1*threshold,4,164
50,400,3.65,1*threshold,4,166
50,400,3.65,1*threshold,4,169
50,400,3.65,1*threshold,4,171
50,400,3.65,1*threshold,4,174
50,400,3.65,1*threshold,4,176
50,400,3.65,1*threshold,4,179
50,400,3.65,1*threshold,4,181
50,400,3.65,1*threshold,4,184
50,400,3.65,1*threshold,4,186
50,400,3.65,1*threshold,4,189
50,400,3.65,1*threshold,4,191
50,400,3.65,1*threshold,4,194
50,400,3.65,1*threshold,4,196
50,400,3.65,1*threshold,4,199
50,400,3.65,1*threshold,4,201
50,400,3.65,1*threshold,4,204
50,400,3.65,1*threshold,4,206
50,400,3.65,1*threshold,4,209
50,400,3.65,1*threshold,4,211
50,400,3.65,1*threshold,4,214
50,400,3.65,1*threshold,4,216
50,400,3.65,1*threshold,4,219
50,400,3.65,1*threshold,4,221
50,400,3.65,1*threshold,4,224
50,400,3.65,1*threshold,4,226
50,400,3.65,1*threshold,4,229
50,400,3.65,1*threshold,4,231
50,400,3.65,1*threshold,4,234
50,400,3.65,1*threshold,4,236
50,400,3.65,1*threshold,4,239
50,400,3.65,1*threshold,4,241
50,400,3.65,1*threshold,4,244
50,400,3.65,1*threshold,4,246
50,400,3.65,1*threshold,4,249
50,400,3.65,1*threshold,4,251
50,400,3.65,1*threshold,4,254
50,400,3.65,1*threshold,4,256
50,400,3.65,1*threshold,4,259
50,400,3.65,1*threshold,4,261
50,400,3.65,1*threshold,4,264
50,400,3.65,1*threshold,4,266
50,400,3.65,1*threshold,4,269
50,400,3.65,1*threshold,4,271
50,400,3.65,1*threshold,4,274
50,400,3.65,1*threshold,4,276
50,400,3.65,1*threshold,4,279
50,400,3.65,1*threshold,4,281
50,400,3.65,1*threshold,4,284
50,400,3.65,1*threshold,4,286
50,400,3.65,1*threshold,4,289
50,400,3.65,1*threshold,4,291
50,400,3.65,1*threshold,4,294
50,400,3.65,1*threshold,4,296
50,400,3.65,1*threshold,5,1
50,400,3.65,1*threshold,5,4
50,400,3.65,1*threshold,5,6
50,400,3.65,1*threshold,5,9
50,400,3.65,1*threshold,5,11
