measurement_node,electrode distance (um),model,stimulus amplitude (uA),latency (ms),amplitude level
59,2000,rattay_01,462.1968011714911,2.135,2.052631578947368
59,2000,rattay_01,509.6016012916441,2.13,2.2631578947368425
59,2000,rattay_01,557.006401411797,2.1259999999999994,2.4736842105263155
59,2000,rattay_01,604.41120153195,2.1229999999999998,2.68421052631579
59,2000,rattay_01,651.8160016521028,2.1199999999999997,2.894736842105263
59,2000,rattay_01,699.2208017722559,2.118,3.105263157894737
59,2000,rattay_01,746.6256018924088,2.1159999999999997,3.31578947368421
59,2000,rattay_01,794.0304020125617,2.1139999999999994,3.5263157894736845
59,2000,rattay_01,841.4352021327146,2.112,3.7368421052631575
59,2000,rattay_01,888.8400022528676,2.11,3.947368421052632
59,2000,rattay_01,936.2448023730204,2.109,4.157894736842105
59,2000,rattay_01,983.6496024931735,2.1069999999999993,4.368421052631579
59,2000,rattay_01,1031.0544026133264,2.1059999999999994,4.578947368421052
59,2000,rattay_01,1078.4592027334793,2.105,4.789473684210526
59,2000,rattay_01,1125.8640028536324,2.104,5.0
59,3000,rattay_01,575.2879269421102,2.267,1.0
59,3000,rattay_01,696.4011747193965,2.177,1.2105263157894737
59,3000,rattay_01,817.5144224966828,2.1539999999999995,1.4210526315789473
59,3000,rattay_01,938.6276702739692,2.143,1.631578947368421
59,3000,rattay_01,1059.7409180512554,2.135,1.8421052631578945
59,3000,rattay_01,1180.8541658285417,2.129,2.052631578947368
59,3000,rattay_01,1301.9674136058281,2.125,2.263157894736842
59,3000,rattay_01,1423.0806613831146,2.122,2.473684210526316
59,3000,rattay_01,1544.193909160401,2.1189999999999993,2.6842105263157894
59,3000,rattay_01,1665.307156937687,2.1159999999999997,2.894736842105263
59,3000,rattay_01,1786.4204047149735,2.1139999999999994,3.1052631578947367
59,3000,rattay_01,1907.53365249226,2.112,3.3157894736842106
59,3000,rattay_01,2028.6469002695462,2.11,3.526315789473684
59,3000,rattay_01,2149.7601480468325,2.1079999999999997,3.736842105263157
59,3000,rattay_01,2270.8733958241187,2.1059999999999994,3.947368421052631
59,3000,rattay_01,2391.9866436014054,2.105,4.157894736842105
59,3000,rattay_01,2513.0998913786916,2.104,4.368421052631579
59,3000,rattay_01,2634.213139155978,2.102,4.578947368421052
59,3000,rattay_01,2755.326386933264,2.1009999999999995,4.789473684210526
59,3000,rattay_01,2876.4396347105508,2.0999999999999996,5.0
59,5000,rattay_01,2256.600667536259,2.209,1.0
59,5000,rattay_01,2731.6744922807347,2.163,1.2105263157894737
59,5000,rattay_01,3206.74831702521,2.147,1.4210526315789473
59,5000,rattay_01,3681.822141769686,2.137,1.631578947368421
59,5000,rattay_01,4156.895966514161,2.1310000000000002,1.8421052631578947
59,5000,rattay_01,4631.969791258636,2.1259999999999994,2.052631578947368
59,5000,rattay_01,5107.043616003112,2.122,2.263157894736842
59,5000,rattay_01,5582.117440747589,2.118,2.473684210526316
59,5000,rattay_01,6057.191265492063,2.1159999999999997,2.6842105263157894
59,5000,rattay_01,6532.2650902365385,2.1129999999999995,2.894736842105263
59,5000,rattay_01,7007.338914981015,2.111,3.1052631578947367
59,5000,rattay_01,7482.412739725491,2.109,3.3157894736842106
59,5000,rattay_01,7957.486564469965,2.1069999999999993,3.526315789473684
59,5000,rattay_01,8432.56038921444,2.105,3.7368421052631575
59,5000,rattay_01,8907.634213958916,2.104,3.947368421052631
59,5000,rattay_01,9382.708038703393,2.102,4.157894736842105
59,5000,rattay_01,9857.781863447868,2.1009999999999995,4.368421052631579
59,5000,rattay_01,10332.855688192343,2.0999999999999996,4.578947368421052
59,5000,rattay_01,10807.929512936817,2.098,4.789473684210526
59,5000,rattay_01,11283.003337681295,2.097,5.0
124,200,briaire_05,1.3407757407740544,2.529,1.2105263157894737
124,200,briaire_05,1.5739541304738898,2.5179999999999993,1.4210526315789473
124,200,briaire_05,1.8071325201737252,2.5109999999999992,1.631578947368421
124,200,briaire_05,2.040310909873561,2.5059999999999993,1.8421052631578945
124,200,briaire_05,2.273489299573396,2.502,2.052631578947368
124,200,briaire_05,2.5066676892732316,2.4989999999999997,2.263157894736842
124,200,briaire_05,2.7398460789730676,2.496,2.473684210526316
124,200,briaire_05,2.973024468672903,2.4939999999999998,2.6842105263157894
124,200,briaire_05,3.206202858372738,2.491,2.894736842105263
124,200,briaire_05,3.439381248072574,2.489,3.1052631578947367
124,200,briaire_05,3.6725596377724097,2.4869999999999997,3.3157894736842106
124,200,briaire_05,3.9057380274722453,2.4849999999999994,3.5263157894736845
124,200,briaire_05,4.13891641717208,2.484,3.736842105263157
124,200,briaire_05,4.3720948068719165,2.4819999999999998,3.947368421052632
124,200,briaire_05,4.605273196571752,2.481,4.157894736842105
124,200,briaire_05,4.838451586271587,2.4799999999999995,4.368421052631579
124,200,briaire_05,5.0716299759714225,2.4789999999999996,4.578947368421052
124,200,briaire_05,5.304808365671258,2.478,4.789473684210526
124,200,briaire_05,5.537986755371094,2.477,5.0
124,300,briaire_05,4.16166907862613,2.529,1.2105263157894737
124,300,briaire_05,4.88543761403937,2.5179999999999993,1.4210526315789473
124,300,briaire_05,5.60920614945261,2.5109999999999992,1.6315789473684208
124,300,briaire_05,6.332974684865851,2.5059999999999993,1.8421052631578947
124,300,briaire_05,7.05674322027909,2.502,2.052631578947368
124,300,briaire_05,7.780511755692331,2.4989999999999997,2.263157894736842
124,300,briaire_05,8.504280291105573,2.496,2.4736842105263164
124,300,briaire_05,9.22804882651881,2.4939999999999998,2.6842105263157894
124,300,briaire_05,9.95181736193205,2.4919999999999995,2.894736842105263
124,300,briaire_05,10.67558589734529,2.49,3.1052631578947367
124,300,briaire_05,11.399354432758532,2.489,3.3157894736842106
124,300,briaire_05,12.12312296817177,2.4869999999999997,3.5263157894736836
124,300,briaire_05,12.84689150358501,2.4859999999999993,3.7368421052631575
124,300,briaire_05,13.570660038998252,2.4849999999999994,3.9473684210526314
124,300,briaire_05,14.29442857441149,2.484,4.157894736842105
124,300,briaire_05,15.018197109824731,2.483,4.368421052631579
124,300,briaire_05,15.74196564523797,2.483,4.578947368421052
124,300,briaire_05,16.46573418065121,2.4819999999999998,4.789473684210526
124,300,briaire_05,17.189502716064453,2.481,5.0
124,500,briaire_05,18.071726748817845,2.5300000000000002,1.2105263157894737
124,500,briaire_05,21.214635748612253,2.5179999999999993,1.4210526315789473
124,500,briaire_05,24.35754474840666,2.5119999999999996,1.631578947368421
124,500,briaire_05,27.500453748201068,2.5069999999999997,1.8421052631578947
124,500,briaire_05,30.64336274799547,2.504,2.052631578947368
124,500,briaire_05,33.78627174778988,2.501,2.263157894736842
124,500,briaire_05,36.9291807475843,2.4979999999999993,2.473684210526316
124,500,briaire_05,40.0720897473787,2.496,2.6842105263157894
124,500,briaire_05,43.214998747173105,2.4919999999999995,2.894736842105263
124,500,briaire_05,46.35790774696751,2.4849999999999994,3.1052631578947367
124,500,briaire_05,49.50081674676193,2.4739999999999998,3.3157894736842106
124,500,briaire_05,52.64372574655633,2.451,3.526315789473684
