stimulation info,run,time / ms,membrane potential / mV
40 us; monophasic; threshold,4.0,0.15999999999999998,-64.46780626881704
40 us; monophasic; threshold,5.0,0.15999999999999998,-64.45212113398833
40 us; monophasic; threshold,6.0,0.15999999999999998,-64.98736580428988
40 us; monophasic; threshold,7.0,0.15999999999999998,-64.61533585409514
40 us; monophasic; threshold,8.0,0.15999999999999998,-64.25991658702212
40 us; monophasic; threshold,9.0,0.15999999999999998,-64.43655304780378
40 us; monophasic; threshold,0.0,0.165,-64.6372322677466
40 us; monophasic; threshold,1.0,0.165,-64.07158954450371
40 us; monophasic; threshold,2.0,0.165,-64.55507814343788
40 us; monophasic; threshold,3.0,0.165,-65.21892049718434
40 us; monophasic; threshold,4.0,0.165,-64.51018468594852
40 us; monophasic; threshold,5.0,0.165,-64.3055561584202
40 us; monophasic; threshold,6.0,0.165,-65.03705501580842
40 us; monophasic; threshold,7.0,0.165,-64.7661773683929
40 us; monophasic; threshold,8.0,0.165,-64.468196644569
40 us; monophasic; threshold,9.0,0.165,-64.80926137277008
40 us; monophasic; threshold,0.0,0.16999999999999998,-64.46133036010731
40 us; monophasic; threshold,1.0,0.16999999999999998,-64.14128425389184
40 us; monophasic; threshold,2.0,0.16999999999999998,-64.40963571158149
40 us; monophasic; threshold,3.0,0.16999999999999998,-65.04412315289095
40 us; monophasic; threshold,4.0,0.16999999999999998,-64.50883522410562
40 us; monophasic; threshold,5.0,0.16999999999999998,-64.21520848074638
40 us; monophasic; threshold,6.0,0.16999999999999998,-64.7102264731028
40 us; monophasic; threshold,7.0,0.16999999999999998,-64.77443264383383
40 us; monophasic; threshold,8.0,0.16999999999999998,-64.56983021483204
40 us; monophasic; threshold,9.0,0.16999999999999998,-64.74114014484117
40 us; monophasic; threshold,0.0,0.17499999999999996,-64.40393963149843
40 us; monophasic; threshold,1.0,0.17499999999999996,-63.96487681330922
40 us; monophasic; threshold,2.0,0.17499999999999996,-64.33559867423162
40 us; monophasic; threshold,3.0,0.17499999999999996,-65.11922002313445
40 us; monophasic; threshold,4.0,0.17499999999999996,-64.40952452969512
40 us; monophasic; threshold,5.0,0.17499999999999996,-64.36080451330604
40 us; monophasic; threshold,6.0,0.17499999999999996,-64.67045149467442
40 us; monophasic; threshold,7.0,0.17499999999999996,-64.6976162896135
40 us; monophasic; threshold,8.0,0.17499999999999996,-64.3508351496544
40 us; monophasic; threshold,9.0,0.17499999999999996,-64.79638764910493
40 us; monophasic; threshold,0.0,0.18,-64.1372738585042
40 us; monophasic; threshold,1.0,0.18,-63.94476927484421
40 us; monophasic; threshold,2.0,0.18,-64.07917625777098
40 us; monophasic; threshold,3.0,0.18,-65.53317843162812
40 us; monophasic; threshold,4.0,0.18,-64.15767023994981
40 us; monophasic; threshold,5.0,0.18,-64.26552548650396
40 us; monophasic; threshold,6.0,0.18,-64.4202292600525
40 us; monophasic; threshold,7.0,0.18,-64.85814947207353
40 us; monophasic; threshold,8.0,0.18,-64.06259030072952
40 us; monophasic; threshold,9.0,0.18,-65.02531070512286
40 us; monophasic; threshold,0.0,0.185,-63.999152165930525
40 us; monophasic; threshold,1.0,0.185,-63.957692494262254
40 us; monophasic; threshold,2.0,0.185,-64.11644112278512
40 us; monophasic; threshold,3.0,0.185,-65.8359327989129
40 us; monophasic; threshold,4.0,0.185,-63.94527913059444
40 us; monophasic; threshold,5.0,0.185,-64.30533396371928
40 us; monophasic; threshold,6.0,0.185,-64.11588793339924
40 us; monophasic; threshold,7.0,0.185,-64.87725815733718
40 us; monophasic; threshold,8.0,0.185,-63.955164175952305
40 us; monophasic; threshold,9.0,0.185,-64.91115510976442
40 us; monophasic; threshold,0.0,0.18999999999999997,-64.25145236366815
40 us; monophasic; threshold,1.0,0.18999999999999997,-63.89441696168116
40 us; monophasic; threshold,2.0,0.18999999999999997,-64.24511564893749
40 us; monophasic; threshold,3.0,0.18999999999999997,-65.83162745553658
40 us; monophasic; threshold,4.0,0.18999999999999997,-63.98476375338445
40 us; monophasic; threshold,5.0,0.18999999999999997,-64.78220917936254
40 us; monophasic; threshold,6.0,0.18999999999999997,-64.18648299121762
40 us; monophasic; threshold,7.0,0.18999999999999997,-64.81763689044274
40 us; monophasic; threshold,8.0,0.18999999999999997,-63.900296522263545
40 us; monophasic; threshold,9.0,0.18999999999999997,-64.90630284460532
40 us; monophasic; threshold,0.0,0.19499999999999998,-64.48931731906642
40 us; monophasic; threshold,1.0,0.19499999999999998,-63.87337404992241
40 us; monophasic; threshold,2.0,0.19499999999999998,-64.27380497400122
40 us; monophasic; threshold,3.0,0.19499999999999998,-65.71325693581926
40 us; monophasic; threshold,4.0,0.19499999999999998,-64.03329954027932
40 us; monophasic; threshold,5.0,0.19499999999999998,-64.77099380925914
40 us; monophasic; threshold,6.0,0.19499999999999998,-64.72984955763413
40 us; monophasic; threshold,7.0,0.19499999999999998,-64.85840723441564
40 us; monophasic; threshold,8.0,0.19499999999999998,-63.88449974628596
40 us; monophasic; threshold,9.0,0.19499999999999998,-64.7507472224751
40 us; monophasic; threshold,0.0,0.19999999999999998,-64.5865558966489
40 us; monophasic; threshold,1.0,0.19999999999999998,-64.01795288676955
40 us; monophasic; threshold,2.0,0.19999999999999998,-64.20554381477922
40 us; monophasic; threshold,3.0,0.19999999999999998,-65.84222887456163
40 us; monophasic; threshold,4.0,0.19999999999999998,-64.16074911352614
40 us; monophasic; threshold,5.0,0.19999999999999998,-64.56046686247326
40 us; monophasic; threshold,6.0,0.19999999999999998,-64.80612503936
40 us; monophasic; threshold,7.0,0.19999999999999998,-64.94138756438704
40 us; monophasic; threshold,8.0,0.19999999999999998,-63.805810099694725
40 us; monophasic; threshold,9.0,0.19999999999999998,-64.73007987670486
40 us; monophasic; threshold,0.0,0.205,-64.5175126941831
40 us; monophasic; threshold,1.0,0.205,-63.90552753225217
40 us; monophasic; threshold,2.0,0.205,-64.30126938114357
40 us; monophasic; threshold,3.0,0.205,-65.87178843147196
40 us; monophasic; threshold,4.0,0.205,-64.24532630183997
40 us; monophasic; threshold,5.0,0.205,-64.7526873016073
40 us; monophasic; threshold,6.0,0.205,-64.85702754140637
40 us; monophasic; threshold,7.0,0.205,-64.81269228262714
40 us; monophasic; threshold,8.0,0.205,-63.854698694627174
40 us; monophasic; threshold,9.0,0.205,-64.72407503767292
40 us; monophasic; threshold,0.0,0.20999999999999996,-64.34245586065074
